addr,alcohol,ambience,applePay,attire,bikeParking,categories,caters,creditCard,delivery,driveThrough,fri,goodFor,goodForGroups,goodForKids,hasTV,id,mon,noiseLevel,outdoorSeating,parking,phone,price,rating,reservations,sat,sun,takeout,thu,title,tue,waiterService,wed,wifi,yelpPage
"207 Powell StSan Francisco, CA 94102",,,No,,Yes,Hair Salons,,Yes,,,10:00 am-7:00 pm,,,No,,1516,Closed,,,Garage,(415) 362-8516,Pricey,4.5 star rating,,9:00 am-6:00 pm,Closed,,11:00 am-8:00 pm,Cowboys &amp; Angels,10:00 am-7:00 pm,,10:00 am-7:00 pm,,http://www.yelp.com/ /biz/cowboys-and-angels-san-francisco
"600 Castro StSan Francisco, CA 94114",,,Yes,,Yes,Home Decor,,Yes,,,11:00 am-7:00 pm,,,,,1517,11:00 am-7:00 pm,,,Street,(415) 692-6511,Pricey,4.5 star rating,,11:00 am-7:00 pm,11:00 am-6:00 pm,,11:00 am-7:00 pm,ZGO,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/zgo-san-francisco
"166 Geary StSan Francisco, CA 94108",,,,,Yes,"Day Spas,Hair Salons,Skin Care",,Yes,,,11:00 am-7:30 pm,,,Yes,,1518,Closed,,,Garage,(415) 986-0177,Pricey,5.0 star rating,,9:00 am-5:00 pm,Closed,,11:00 am-7:30 pm,Salon Darya,11:00 am-7:30 pm,,11:00 am-7:30 pm,,http://www.yelp.com/ /biz/salon-darya-san-francisco
"2159 Union StSan Francisco, CA 94123",,,,,Yes,Skin Care,,Yes,,,,,,,,1519,,,,Street,(415) 823-3209,Pricey,4.5 star rating,,,,,,Studio C Skincare,,,,,http://www.yelp.com/ /biz/studio-c-skincare-san-francisco
"2239 Fillmore StSan Francisco, CA 94115",,,,,,Hair Salons,,Yes,,,9:00 am-7:00 pm,,,No,,1520,Closed,,,Street,(415) 674-4366,Pricey,4.5 star rating,,9:00 am-6:00 pm,Closed,,9:00 am-7:00 pm,diPietro Todd Salon - Pacific Heights,9:00 am-7:00 pm,,9:00 am-7:00 pm,,http://www.yelp.com/ /biz/dipietro-todd-salon-pacific-heights-san-francisco-2
"300 Divisadero StSan Francisco, CA 94117",,,No,,Yes,"Hair Salons,Hair Removal",,Yes,,,10:00 am-8:00 pm,,,Yes,,1521,Closed,,,Street,(415) 626-4782,Pricey,4.0 star rating,,10:00 am-6:00 pm,12:00 pm-6:00 pm,,10:00 am-8:00 pm,MaduSalon,10:00 am-8:00 pm,,10:00 am-8:00 pm,,http://www.yelp.com/ /biz/madusalon-san-francisco-2
"495 Geary StSan Francisco, CA 94102",Full Bar,Trendy,No,,No,Lounges,,Yes,,,4:00 pm-2:00 am,,Yes,,No,1522,5:00 pm-2:00 am,Loud,No,"Valet, Street",(415) 929-2372,Pricey,3.5 star rating,Yes,4:00 pm-2:00 am,5:00 pm-2:00 am,,5:00 pm-2:00 am,Redwood Room,5:00 pm-2:00 am,,5:00 pm-2:00 am,,http://www.yelp.com/ /biz/redwood-room-san-francisco
"2 New Montgomery StSan Francisco, CA 94105",Full Bar,Classy,No,Dressy,No,"Tea Rooms,Breakfast & Brunch,Lounges",No,Yes,No,,6:30 am-10:30 am11:30 am-5:00 pm5:30 pm-10:00 pm,Brunch,Yes,Yes,No,1523,6:30 am-10:30 am11:30 am-2:00 pm5:30 pm-10:00 pm,Average,No,Valet,(415) 512-1111,$31-60,3.5 star rating,Yes,6:30 am-11:00 am11:30 am-5:00 pm5:30 pm-10:00 pm,7:00 am-10:00 am2:00 pm-5:00 pm5:30 pm-10:00 pm,No,6:30 am-10:30 am11:30 am-2:00 pm5:30 pm-10:00 pm,The Garden Court,6:30 am-10:30 am11:30 am-2:00 pm5:30 pm-10:00 pm,Yes,6:30 am-10:30 am11:30 am-2:00 pm5:30 pm-10:00 pm,No,http://www.yelp.com/ /biz/the-garden-court-san-francisco
"300 Grant AveSan Francisco, CA 94108",,,No,,Yes,Bridal,,Yes,,,11:00 am-7:00 pm,,,,,1524,Closed,,,Garage,(415) 397-9111,Pricey,4.5 star rating,,10:00 am-6:00 pm,12:00 pm-5:00 pm,,11:00 am-7:00 pm,Jin Wang,Closed,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/jin-wang-san-francisco-3
"44 Belden PlSan Francisco, CA 94104",Full Bar,Casual,No,Casual,Yes,"Spanish,Catalan,Cocktail Bars",No,Yes,No,,11:30 am-2:30 pm5:00 pm-10:30 pm,Dinner,Yes,No,Yes,1525,5:00 pm-9:30 pm,Average,Yes,Street,(415) 986-6287,$31-60,3.5 star rating,Yes,5:00 pm-10:30 pm,5:00 pm-9:30 pm,Yes,11:30 am-2:30 pm5:00 pm-10:00 pm,B44 Catalan Bistro,5:00 pm-10:00 pm,Yes,11:30 am-2:30 pm5:00 pm-10:00 pm,No,http://www.yelp.com/ /biz/b44-catalan-bistro-san-francisco
"369 The EmbarcaderoSan Francisco, CA 94105",Full Bar,Classy,No,Dressy,Yes,"Steakhouses,Seafood,American (New)",No,Yes,No,,11:30 am-10:00 pm,Dinner,Yes,No,Yes,1526,11:30 am-9:30 pm,Average,Yes,"Valet, Street",(415) 369-9955,$31-60,3.5 star rating,Yes,11:00 am-10:00 pm,11:00 am-9:30 pm,Yes,11:30 am-9:30 pm,EPIC Steak,11:30 am-9:30 pm,Yes,11:30 am-9:30 pm,Free,http://www.yelp.com/ /biz/epic-steak-san-francisco
"686 Sacramento StSan Francisco, CA 94111",,,No,,Yes,"Formal Wear,Men's Clothing,Bespoke Clothing",,Yes,,,,,,,,1527,,,,Street,(872) 228-9910,Pricey,5.0 star rating,,,,,,Proper Suit,,,,,http://www.yelp.com/ /biz/proper-suit-san-francisco-2
"215 Fremont StSan Francisco, CA 94105",,,Yes,,Yes,Hair Salons,,Yes,,,10:00 am-7:00 pm,,,No,,1528,Closed,,,"Garage, Street",(415) 975-9900,Pricey,4.5 star rating,,10:00 am-5:00 pm,Closed,,10:00 am-7:00 pm,Groove Salon,10:00 am-7:00 pm,,10:00 am-7:00 pm,,http://www.yelp.com/ /biz/groove-salon-san-francisco
"1833 Polk StSan Francisco, CA 94109",,,,,Yes,Leather Goods,,Yes,,,11:00 am-6:00 pm,,,,,1529,Closed,,,Street,(800) 730-7722,Pricey,4.5 star rating,,11:00 am-6:00 pm,Closed,,11:00 am-6:00 pm,Johnson Leather,11:00 am-6:00 pm,,11:00 am-6:00 pm,,http://www.yelp.com/ /biz/johnson-leathers-san-francisco
"2901 Pacific AveSan Francisco, CA 94115",,,,,,Hotels,,Yes,,,Open 24 hours,,,,,1530,Open 24 hours,,,,(415) 346-2880,Pricey,4.5 star rating,,Open 24 hours,Open 24 hours,,Open 24 hours,Hotel Drisco,Open 24 hours,,Open 24 hours,Free,http://www.yelp.com/ /biz/hotel-drisco-san-francisco
"242 Columbus AveSan Francisco, CA 94133",Full Bar,Classy,No,Casual,No,"Italian,Wine Bars",No,Yes,No,,5:00 pm-2:00 am,Dinner,Yes,No,No,1531,5:00 pm-2:00 am,Average,No,Street,(415) 986-9651,$31-60,3.5 star rating,Yes,5:00 pm-2:00 am,5:00 pm-2:00 am,No,5:00 pm-2:00 am,Tosca Cafe,5:00 pm-2:00 am,Yes,5:00 pm-2:00 am,No,http://www.yelp.com/ /biz/tosca-cafe-san-francisco-3
"3150 18th StSan Francisco, CA 94110",,,,,Yes,Tattoo,,Yes,,,12:30 pm-7:00 pm,,,,,1532,Closed,,,Street,(415) 336-9406,Pricey,4.5 star rating,,10:00 am-7:00 pm,Closed,,12:30 pm-7:00 pm,Shannon Archuleta Tattoo,Closed,,12:30 pm-7:00 pm,,http://www.yelp.com/ /biz/shannon-archuleta-tattoo-san-francisco
,,,Yes,,Yes,Personal Shopping,,Yes,,,11:00 am-7:00 pm,,,,,1533,11:00 am-6:00 pm,,,,(415) 735-4527,Pricey,5.0 star rating,,12:00 pm-2:00 pm,Closed,,10:00 am-7:00 pm,Joui Turandot,10:00 am-7:00 pm,,11:15 am-7:00 pm,,http://www.yelp.com/ /biz/joui-turandot-san-francisco
"2906 Lyon StSan Francisco, CA 94123",,,,,Yes,"Acupuncture,Massage,Naturopathic/Holistic",,Yes,,,8:30 am-7:00 pm,,,,,1534,8:30 am-7:00 pm,,,Street,(415) 440-5070,Pricey,5.0 star rating,,Closed,8:30 am-7:00 pm,,8:30 am-7:00 pm,Heaven Qi &amp; Earth,8:30 am-7:00 pm,,8:30 am-7:00 pm,,http://www.yelp.com/ /biz/heaven-qi-and-earth-san-francisco
"256 Sutter StSan Francisco, CA 94108",,,,,Yes,Hair Salons,,Yes,,,10:00 am-6:00 pm,,,No,,1535,Closed,,,Garage,(415) 732-0356,Pricey,4.5 star rating,,9:00 am-5:00 pm,Closed,,10:00 am-6:00 pm,Barrow Salon,10:00 am-6:00 pm,,10:00 am-6:00 pm,,http://www.yelp.com/ /biz/barrow-salon-san-francisco
"Pier 43 1/2San Francisco, CA 94133",Full Bar,Touristy,No,Casual,Yes,Seafood,No,Yes,No,,11:30 am-10:00 pm,Dinner,Yes,Yes,No,1536,11:30 am-10:00 pm,Average,Yes,Validated,(415) 362-7733,$31-60,3.5 star rating,Yes,11:30 am-10:00 pm,11:30 am-10:00 pm,Yes,11:30 am-10:00 pm,Franciscan Crab Restaurant,11:30 am-10:00 pm,Yes,11:30 am-10:00 pm,No,http://www.yelp.com/ /biz/franciscan-crab-restaurant-san-francisco
"552 Castro StSan Francisco, CA 94114",,,,,Yes,"Optometrists,Eyewear & Opticians",,Yes,,,10:00 am-7:00 pm,,,,,1537,9:00 am-6:00 pm,,,Street,(415) 626-0858,Pricey,4.5 star rating,,10:00 am-5:00 pm,Closed,,9:00 am-8:00 pm,For Your Eyes Only Optometry,9:00 am-6:00 pm,,10:00 am-8:00 pm,,http://www.yelp.com/ /biz/for-your-eyes-only-optometry-san-francisco
"55 Grant AveSan Francisco, CA 94108",,,,,Yes,Hair Salons,,Yes,,,10:00 am-6:00 pm,,,No,,1538,Closed,,,Garage,(415) 989-9463,Pricey,4.5 star rating,,9:00 am-5:00 pm,Closed,,10:00 am-6:00 pm,Zindagi Salon,10:00 am-6:00 pm,,10:00 am-6:00 pm,,http://www.yelp.com/ /biz/zindagi-salon-san-francisco
"133 Kearny StSan Francisco, CA 94108",,,No,,No,Hair Stylists,,Yes,,,10:00 am-5:00 pm,,,Yes,,1539,Closed,,,,(415) 350-1761,Pricey,5.0 star rating,,10:00 am-5:00 pm,Closed,,Closed,Hair By Eva,10:00 am-5:00 pm,,10:00 am-5:00 pm,,http://www.yelp.com/ /biz/hair-by-eva-san-francisco
"463 Union StSan Francisco, CA 94133",,,No,,Yes,Hair Salons,,Yes,,,10:00 am-7:00 pm,,,Yes,,1540,Closed,,,"Garage, Street",(415) 603-2877,Pricey,5.0 star rating,,10:00 am-5:00 pm,Closed,,10:00 am-7:00 pm,Salon A7,10:00 am-7:00 pm,,10:00 am-7:00 pm,,http://www.yelp.com/ /biz/salon-a7-san-francisco
"3199 16th StSan Francisco, CA 94103",,,,,Yes,"Optometrists,Eyewear & Opticians",,Yes,,,10:00 am-5:00 pm,,,,,1541,Closed,,,Street,(415) 241-0240,Pricey,4.5 star rating,,10:00 am-5:00 pm,Closed,,11:00 am-7:00 pm,Eyedare Optometric,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/eyedare-optometric-san-francisco
"315 Sutter StSan Francisco, CA 94108",,,,,,Hair Salons,,Yes,,,9:00 am-6:00 pm,,,No,,1542,Closed,,,Garage,(415) 447-0773,Pricey,4.5 star rating,,9:00 am-4:30 pm,Closed,,11:00 am-8:00 pm,Robert James Color,9:00 am-6:00 pm,,9:00 am-6:00 pm,,http://www.yelp.com/ /biz/robert-james-color-san-francisco
"1521 Fillmore StSan Francisco, CA 94115",,,,,Yes,"Men's Clothing,Accessories,Sports Wear",,Yes,,,12:00 pm-7:00 pm,,,,,1543,Closed,,,Street,(415) 359-1999,Pricey,4.5 star rating,,12:00 pm-7:00 pm,12:00 pm-6:00 pm,,12:00 pm-7:00 pm,The Brooklyn Circus,12:00 pm-7:00 pm,,12:00 pm-7:00 pm,,http://www.yelp.com/ /biz/the-brooklyn-circus-san-francisco
"659 Merchant StSan Francisco, CA 94111",Full Bar,Classy,No,Dressy,No,"Steakhouses,Bars,Desserts",No,Yes,No,,4:00 am-11:00 pm,Dinner,Yes,No,Yes,1544,4:00 pm-10:00 pm,Average,No,"Garage, Validated",(415) 781-7058,$31-60,3.5 star rating,Yes,5:30 pm-11:00 pm,Closed,Yes,11:30 am-10:00 pm,Alfred’s Steakhouse,4:00 pm-10:00 pm,Yes,4:00 pm-10:00 pm,No,http://www.yelp.com/ /biz/alfreds-steakhouse-san-francisco
"1301 Indiana StSan Francisco, CA 94107",,,,,,Makeup Artists,,Yes,,,8:00 am-6:00 pm,,,,,1545,8:00 am-6:00 pm,,,Street,(415) 860-5872,Pricey,5.0 star rating,,8:00 am-6:00 pm,8:00 am-6:00 pm,,8:00 am-6:00 pm,The Glamourist,8:00 am-6:00 pm,,8:00 am-6:00 pm,,http://www.yelp.com/ /biz/the-glamourist-san-francisco
"2064 Union StSan Francisco, CA 94123",,,,,Yes,Hair Salons,,Yes,,,,,,No,,1546,,,,"Garage, Street",(415) 563-3514,Pricey,5.0 star rating,,,,,,J Hair Studio,,,,,http://www.yelp.com/ /biz/j-hair-studio-san-francisco
"360 6th StSan Francisco, CA 94103",,,,,No,Hair Salons,,Yes,,,11:00 am-6:00 pm,,,No,,1547,Closed,,,Street,(415) 861-4247,Pricey,4.5 star rating,,10:00 am-5:30 pm,Closed,,12:00 pm-8:00 pm,GSQUARED A SOMA Hair Studio,12:00 pm-8:00 pm,,Closed,,http://www.yelp.com/ /biz/gsquared-a-soma-hair-studio-san-francisco
"1818 Lombard StSan Francisco, CA 94123",,,,,Yes,"Skin Care,Laser Hair Removal,Medical Spas",,Yes,,,8:30 am-7:00 pm,,,,,1548,8:30 am-7:00 pm,,,Street,(415) 885-2737,Pricey,4.5 star rating,,Closed,Closed,,9:00 am-5:00 pm,SF Aesthetics and Laser Center,8:30 am-7:00 pm,,8:30 am-7:00 pm,,http://www.yelp.com/ /biz/sf-aesthetics-and-laser-center-san-francisco
"1903 Hyde StSan Francisco, CA 94109",,,No,,Yes,"Bridal,Formal Wear",,Yes,,,12:00 pm-8:00 pm,,,,,1549,Closed,,,"Garage, Street",(415) 775-0545,Pricey,5.0 star rating,,12:00 pm-8:00 pm,Closed,,12:00 pm-8:00 pm,Atelier Des Modistes,Closed,,12:00 pm-8:00 pm,,http://www.yelp.com/ /biz/atelier-des-modistes-san-francisco
"700 Lombard StSan Francisco, CA 94105",,,,,Yes,Tattoo,,Yes,,,12:00 pm-7:00 pm,,,,,1550,12:00 pm-7:00 pm,,,Street,(415) 345-9437,Pricey,5.0 star rating,,12:00 pm-7:00 pm,12:00 pm-6:00 pm,,12:00 pm-7:00 pm,Tattoo City,12:00 pm-7:00 pm,,12:00 pm-7:00 pm,,http://www.yelp.com/ /biz/tattoo-city-san-francisco
"320 Hayes StSan Francisco, CA 94102",Full Bar,,,Casual,No,Seafood,No,Yes,No,,11:30 am-10:30 pm,Dinner,Yes,No,No,1551,11:30 am-9:00 pm,Average,No,Street,(415) 863-5545,$31-60,3.0 star rating,Yes,5:00 pm-10:30 pm,5:00 pm-8:30 pm,No,11:30 am-9:00 pm,Hayes Street Grill,11:30 am-9:00 pm,Yes,11:30 am-9:00 pm,No,http://www.yelp.com/ /biz/hayes-street-grill-san-francisco
"3385 Sacramento StSan Francisco, CA 94118",,,,,Yes,"Women's Clothing,Maternity Wear",,Yes,,,10:00 am-6:00 pm,,,,,1552,10:00 am-6:00 pm,,,Street,(415) 441-8261,Pricey,4.5 star rating,,10:00 am-6:00 pm,11:00 am-5:00 pm,,10:00 am-6:00 pm,Mom’s the Word,10:00 am-6:00 pm,,10:00 am-6:00 pm,,http://www.yelp.com/ /biz/moms-the-word-san-francisco-2
"59 9th StSan Francisco, CA 94103",Full Bar,Trendy,No,Casual,Yes,American (New),,Yes,No,,3:00 pm-10:00 pm,Dinner,Yes,No,No,1553,3:00 pm-9:00 pm,Average,No,Street,(415) 500-7788,$31-60,3.5 star rating,Yes,3:00 pm-10:00 pm,Closed,Yes,3:00 pm-9:00 pm,The Perennial,3:00 pm-9:00 pm,Yes,3:00 pm-9:00 pm,Free,http://www.yelp.com/ /biz/the-perennial-san-francisco
"323 Geary StSan Francisco, CA 94108",,,No,,Yes,"Hair Stylists,Hair Extensions",,Yes,,,9:30 am-5:00 pm,,,No,,1554,Closed,,,"Garage, Street",(415) 777-0999,Pricey,5.0 star rating,,9:30 am-5:00 pm,Closed,,9:30 am-5:00 pm,Studio 323,9:30 am-5:00 pm,,9:30 am-5:00 pm,,http://www.yelp.com/ /biz/studio-323-san-francisco
"450 Powell StSan Francisco, CA 94102",Full Bar,Classy,No,,No,Lounges,,Yes,,,5:00 pm-2:00 am,,Yes,,No,1555,Closed,Average,No,,(415) 395-8595,Pricey,3.0 star rating,Yes,5:00 pm-2:00 am,Closed,,5:00 pm-12:00 am,The Starlight Room,5:00 pm-12:00 am,,5:00 pm-12:00 am,,http://www.yelp.com/ /biz/the-starlight-room-san-francisco
"751 Irving StSan Francisco, CA 94122",,,,,Yes,"Shoe Stores,Accessories",,Yes,,,11:00 am-7:00 pm,,,,,1556,11:00 am-7:00 pm,,,Street,(415) 665-6112,Pricey,4.5 star rating,,10:00 am-6:00 pm,11:00 am-6:00 pm,,11:00 am-7:00 pm,Citi Shoes,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/citi-shoes-san-francisco
"3450 3rd StSan Francisco, CA 94124",,,,,Yes,"Florists,Party & Event Planning",,Yes,Yes,,9:00 am-5:00 pm,,,,,1557,9:00 am-5:00 pm,,,"Street, Private Lot",(415) 821-7710,Pricey,5.0 star rating,,Closed,Closed,,9:00 am-5:00 pm,Michael Daigian Design,9:00 am-5:00 pm,,9:00 am-5:00 pm,,http://www.yelp.com/ /biz/michael-daigian-design-san-francisco
"23 Grant AveSan Francisco, CA 94108",,,No,,Yes,"Blow Dry/Out Services,Hair Stylists",,Yes,,,8:30 am-7:00 pm,,,No,,1558,8:30 am-6:00 pm,,,Street,(628) 400-5890,Pricey,4.5 star rating,,8:30 am-6:00 pm,Closed,,8:30 am-8:00 pm,Cinta Salon,8:30 am-7:00 pm,,8:30 am-8:00 pm,,http://www.yelp.com/ /biz/cinta-salon-san-francisco
"2231 Market StSan Francisco, CA 94114",,,,,Yes,"Men's Clothing,Used, Vintage & Consignment,Formal Wear",,Yes,,,11:00 am-7:00 pm,,,,,1559,11:00 am-7:00 pm,,,Street,(415) 437-2231,Pricey,4.5 star rating,,11:00 am-7:00 pm,11:00 am-5:00 pm,,11:00 am-7:00 pm,Sui Generis Consignment - Mens,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/sui-generis-consignment-mens-san-francisco-7
"301 Sutter StSan Francisco, CA 94108",,,Yes,,Yes,"Cosmetics & Beauty Supply,Skin Care",,Yes,,,10:00 am-8:00 pm,,,,,1560,10:00 am-7:00 pm,,,Street,(415) 248-0210,Pricey,4.5 star rating,,10:00 am-8:00 pm,11:00 am-6:00 pm,,10:00 am-7:00 pm,Fresh,10:00 am-7:00 pm,,10:00 am-7:00 pm,,http://www.yelp.com/ /biz/fresh-san-francisco
"1538 Pacific AveSan Francisco, CA 94109",,,,,Yes,"Makeup Artists,Blow Dry/Out Services,Hair Stylists",,Yes,,,10:00 am-6:00 pm,,,No,,1561,Closed,,,"Garage, Street",(415) 874-9257,Pricey,4.5 star rating,,10:00 am-6:00 pm,Closed,,12:00 pm-8:00 pm,Clifford Style,10:00 am-6:00 pm,,10:00 am-6:00 pm,,http://www.yelp.com/ /biz/clifford-style-san-francisco-3
"1680 Post StSan Francisco, CA 94115",,,,,Yes,Hair Salons,,Yes,,,9:30 am-6:00 pm,,,Yes,,1562,9:30 am-6:00 pm,,,Street,(415) 931-4405,Pricey,4.0 star rating,,9:30 am-6:00 pm,9:30 am-6:00 pm,,9:30 am-6:00 pm,Arty,9:30 am-6:00 pm,,9:30 am-6:00 pm,,http://www.yelp.com/ /biz/arty-san-francisco
"415 Taylor StSan Francisco, CA 94102",,,,,Yes,"Beer, Wine & Spirits,Specialty Food,Flowers & Gifts",,Yes,,,10:00 am-6:00 pm,,,,,1563,10:00 am-6:00 pm,,,Street,(415) 771-2887,Pricey,4.5 star rating,,10:00 am-6:00 pm,Closed,No,10:00 am-6:00 pm,Napa Valley Winery Exchange,10:00 am-6:00 pm,,10:00 am-6:00 pm,,http://www.yelp.com/ /biz/napa-valley-winery-exchange-san-francisco
"557 Waller StSan Francisco, CA 94114",,,,,,"Massage,Naturopathic/Holistic,Nutritionists",,Yes,,,Closed,,,,,1564,Closed,,,Street,(773) 398-9372,Pricey,5.0 star rating,,Closed,3:00 pm-9:00 pm,,Closed,Strong Body Love,Closed,,3:00 pm-9:00 pm,,http://www.yelp.com/ /biz/strong-body-love-san-francisco
"136 Fillmore StSan Francisco, CA 94117",,,,,Yes,"Men's Clothing,Women's Clothing",,Yes,,,11:00 am-7:00 pm,,,,,1565,11:00 am-7:00 pm,,,Street,(415) 795-1748,Pricey,4.5 star rating,,11:00 am-7:00 pm,11:00 am-7:00 pm,,11:00 am-7:00 pm,Revolver,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/revolver-san-francisco
"820 Valencia StSan Francisco, CA 94110",,,Yes,,Yes,Electronics,,Yes,,,11:00 am-7:00 pm,,,,,1566,11:00 am-7:00 pm,,,Street,(415) 666-2256,Pricey,4.5 star rating,,11:00 am-7:00 pm,11:00 am-7:00 pm,,11:00 am-7:00 pm,Dijital Fix,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/dijital-fix-san-francisco
"660 Market StSan Francisco, CA 94104",,,,,,Hair Salons,,Yes,,,12:00 pm-8:00 pm,,,No,,1567,12:00 pm-8:00 pm,,,"Garage, Street",(415) 806-4893,Pricey,5.0 star rating,,12:00 pm-6:00 pm,12:00 pm-6:00 pm,,12:00 pm-8:00 pm,Salon KaoVey,12:00 pm-8:00 pm,,Closed,,http://www.yelp.com/ /biz/salon-kaovey-san-francisco
"515 Mason StreetSan Francisco, CA 94102",Full Bar,Intimate,,Casual,Yes,"Lounges,American (New)",No,Yes,No,,6:30 am-11:00 pm,Dinner,Yes,No,No,1568,6:30 am-11:00 pm,Quiet,No,Valet,(415) 929-2087,$31-60,3.5 star rating,Yes,6:30 am-11:00 pm,6:30 am-11:00 pm,No,6:30 am-11:00 pm,Level III Restaurant,6:30 am-11:00 pm,Yes,6:30 am-11:00 pm,Free,http://www.yelp.com/ /biz/level-iii-restaurant-san-francisco
"868 Brannan StSan Francisco, CA 94103",,,,,Yes,Jewelry,,Yes,,,10:00 am-5:00 pm,,,,,1569,10:00 am-5:00 pm,,,Private Lot,(415) 255-0789,Pricey,5.0 star rating,,Closed,Closed,,10:00 am-5:00 pm,Jesse James Enterprises,10:00 am-5:00 pm,,10:00 am-5:00 pm,,http://www.yelp.com/ /biz/jesse-james-enterprises-san-francisco
"333 Hayes StSan Francisco, CA 94102",,,,,Yes,"Women's Clothing,Men's Clothing,Accessories",,Yes,,,11:00 am-7:00 pm,,,,,1570,11:00 am-7:00 pm,,,Street,(415) 861-1025,Pricey,4.5 star rating,,11:00 am-7:00 pm,12:00 pm-6:00 pm,,11:00 am-7:00 pm,Acrimony,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/acrimony-san-francisco
"419 O&#39;Farrell StSan Francisco, CA 94102",Full Bar,,No,Casual,No,"Moroccan,Hookah Bars",Yes,Yes,No,,5:30 pm-2:00 am,Dinner,Yes,No,No,1571,5:30 pm-2:00 am,Average,No,Street,(415) 776-6717,$31-60,3.0 star rating,Yes,5:30 pm-2:00 am,5:30 pm-2:00 am,Yes,5:30 pm-2:00 am,Marrakech Moroccan Restaurant,5:30 pm-2:00 am,Yes,5:30 pm-2:00 am,No,http://www.yelp.com/ /biz/marrakech-moroccan-restaurant-san-francisco
"14 10th StSan Francisco, CA 94103",,,No,,Yes,Skin Care,,Yes,,,,,,,,1572,,,,"Valet, Garage, Street",(415) 748-1869,Pricey,4.5 star rating,,,,,,Kim Pfabe’s Sugarcane,,,,,http://www.yelp.com/ /biz/kim-pfabes-sugarcane-san-francisco
"506 Hayes StSan Francisco, CA 94102",,,,,Yes,"Luggage,Accessories,Customized Merchandise",,Yes,,,10:00 am-7:00 pm,,,,,1573,10:00 am-7:00 pm,,,Street,(415) 252-9860,Pricey,4.0 star rating,,10:00 am-7:00 pm,11:00 am-6:30 pm,,10:00 am-7:00 pm,Timbuk2,10:00 am-7:00 pm,,10:00 am-7:00 pm,,http://www.yelp.com/ /biz/timbuk2-san-francisco
"San Francisco, CA 94110",,,,,Yes,Musical Instruments & Teachers,,Yes,,,9:00 am-5:30 pm,,,,,1574,9:30 am-5:30 pm,,,Street,(415) 596-0299,Pricey,4.5 star rating,,9:00 am-12:00 pm,9:30 am-11:30 am,,9:30 am-6:30 pm,Music Together of San Francisco,9:30 am-2:30 pm,,9:00 am-6:00 pm,,http://www.yelp.com/ /biz/music-together-of-san-francisco-san-francisco
"1435 Grant AveSan Francisco, CA 94133",,,,,,"Home Decor,Antiques,Art Galleries",,Yes,,,11:00 am-6:00 pm,,,No,,1575,11:00 am-5:00 pm,,,Street,(415) 399-8882,Pricey,5.0 star rating,,10:00 am-7:00 pm,11:00 am-5:00 pm,,11:00 am-6:00 pm,Schein &amp; Schein,11:00 am-6:00 pm,,11:00 am-6:00 pm,,http://www.yelp.com/ /biz/schein-and-schein-san-francisco
"766 Valencia StSan Francisco, CA 94110",,,,,Yes,Toy Stores,,Yes,,,11:00 am-7:00 pm,,,,,1576,11:00 am-7:00 pm,,,Street,(415) 252-9990,Pricey,4.0 star rating,,11:00 am-7:00 pm,11:00 am-7:00 pm,,11:00 am-7:00 pm,Paxton Gate’s Curiosities For Kids,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/paxton-gates-curiosities-for-kids-san-francisco
"1501 Cortland AveSan Francisco, CA 94110",,,,,,"Florists,Bridal",,Yes,No,,,,,,,1577,,,,Street,(415) 377-4435,Pricey,5.0 star rating,,,,,,Waterlily Pond,,,,,http://www.yelp.com/ /biz/waterlily-pond-san-francisco-2
"2200 Jerrold AveSan Francisco, CA 94124",,,,,,"Florists,Event Planning & Services",,Yes,Yes,,9:00 am-5:00 pm,,,,,1578,9:00 am-5:00 pm,,,Private Lot,(415) 975-2020,Pricey,4.5 star rating,,9:00 am-5:00 pm,9:00 am-2:00 pm,,9:00 am-5:00 pm,Floramor Studios,9:00 am-5:00 pm,,9:00 am-5:00 pm,,http://www.yelp.com/ /biz/floramor-studios-san-francisco-2
"1445 Fillmore StSan Francisco, CA 94115",,,No,,Yes,"Permanent Makeup,Eyelash Service",,Yes,,,,,,,,1579,,,,,(628) 232-0574,Pricey,5.0 star rating,,,,,,iBrow Vixen Permanent Cosmetics Center,,,,,http://www.yelp.com/ /biz/ibrow-vixen-permanent-cosmetics-center-san-francisco
"1069 Valencia StSan Francisco, CA 94110",,,,,Yes,"Women's Clothing,Accessories",,Yes,,,11:00 am-7:00 pm,,,,,1580,11:00 am-7:00 pm,,,Street,(415) 695-1462,Pricey,4.5 star rating,,11:00 am-7:00 pm,11:00 am-6:00 pm,,11:00 am-7:00 pm,Laku,11:00 am-7:00 pm,,11:00 am-7:00 pm,,http://www.yelp.com/ /biz/laku-san-francisco
