id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters,driveThrough
1014,Tokyo Futon &amp; Tea,https://www.yelp.com/ /biz/tokyo-futon-and-tea-san-francisco-2,"Furniture Stores,Coffee & Tea",Moderate,4.5 star rating,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,12:00 pm-6:00 pm,Closed,"924 Valencia StSan Francisco, CA 94110",(415) 863-6368,,,No,Yes,No,,Street,Yes,,,,,,,No,No,,,,
1015,Bella Trattoria,https://www.yelp.com/ /biz/bella-trattoria-san-francisco,Italian,$11-30,4.0 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,12:00 pm-3:00 pm5:00 pm-10:30 pm,5:00 pm-10:30 pm,4:00 pm-9:00 pm,"3854 Geary BlvdSan Francisco, CA 94118",(415) 221-0305,Yes,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,"Intimate, Romantic",Average,Beer & Wine Only,No,No,Yes,Yes,No,
1016,Sweet Maple,https://www.yelp.com/ /biz/sweet-maple-san-francisco,"American (Traditional),Breakfast & Brunch",$11-30,4.0 star rating,8:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,8:00 am-3:00 pm,"2101 Sutter StSan Francisco, CA 94115",(415) 655-9169,No,No,Yes,Yes,No,"Breakfast, Brunch",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,No,
1017,The Little Chihuahua,https://www.yelp.com/ /biz/the-little-chihuahua-san-francisco,Mexican,$11-30,4.0 star rating,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,10:00 am-11:00 pm,10:00 am-11:00 pm,"292 Divisadero StSan Francisco, CA 94117",(415) 255-8225,No,No,Yes,Yes,Yes,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,No,No,
1018,Jannah,https://www.yelp.com/ /biz/jannah-san-francisco-3,Middle Eastern,$11-30,4.0 star rating,Closed,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,12:00 pm-9:00 pm,12:00 pm-9:00 pm,"1775 Fulton StSan Francisco, CA 94117",(415) 567-4400,Yes,No,Yes,Yes,No,Dinner,"Garage, Street",Yes,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,Yes,No,Yes,Yes,Yes,
1019,Martuni’s,https://www.yelp.com/ /biz/martunis-san-francisco,"Lounges,Karaoke",Moderate,4.0 star rating,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,"4 Valencia StSan Francisco, CA 94103",(415) 241-0205,No,,,Yes,No,,Street,No,,Yes,,Intimate,Average,Full Bar,No,,No,,,
1020,The Castro Republic,https://www.yelp.com/ /biz/the-castro-republic-san-francisco,"Latin American,Mexican",$11-30,4.5 star rating,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-11:00 pm,9:00 am-11:00 pm,9:00 am-5:00 pm,"2295 Market stSan Francisco, CA 94114",(415) 934-0525,No,No,Yes,Yes,Yes,"Brunch, Lunch, Dinner",,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,Yes,,
1021,Lupa Trattoria,https://www.yelp.com/ /biz/lupa-trattoria-san-francisco,Italian,$11-30,4.0 star rating,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:00 pm-9:00 pm,"4109 24th StSan Francisco, CA 94114",(415) 282-5872,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1022,Montella Pizzeria,https://www.yelp.com/ /biz/montella-pizzeria-san-francisco,"Pizza,Beer Bar,Salad",$11-30,4.5 star rating,12:00 pm-9:00 pm,12:00 pm-9:00 pm,12:00 pm-9:00 pm,Closed,12:00 pm-9:30 pm,12:00 pm-9:30 pm,12:00 pm-9:00 pm,"3161 24th StSan Francisco, CA 94110",(415) 642-1160,Yes,Yes,Yes,Yes,,Dinner,,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,Yes,Yes,
1023,Graffeo Coffee Roasting Company,https://www.yelp.com/ /biz/graffeo-coffee-roasting-company-san-francisco,Coffee & Tea,Moderate,4.5 star rating,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-5:00 pm,Closed,"735 Columbus AveSan Francisco, CA 94133",(415) 986-2420,,,Yes,Yes,,,Street,Yes,,,,,,,No,No,,,,
1024,KitTea Cat Cafe,https://www.yelp.com/ /biz/kittea-cat-cafe-san-francisco-4,"Cafes,Tea Rooms,Pet Adoption",$11-30,4.5 star rating,12:00 pm-4:00 pm,Closed,12:00 pm-7:00 pm,12:00 pm-8:00 pm,12:00 pm-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,"96 Gough StSan Francisco, CA 94102",(415) 658-7888,Yes,No,Yes,Yes,No,Brunch,Street,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,No,No,No,
1025,Woods Cervecería,https://www.yelp.com/ /biz/woods-cervecer%C3%ADa-san-francisco-2,"Bars,Breweries,Venues & Event Spaces",Moderate,4.0 star rating,4:00 pm-10:00 pm,4:00 pm-10:00 pm,4:00 pm-10:00 pm,4:00 pm-11:00 pm,2:00 pm-12:00 am,12:00 pm-12:00 am,12:00 pm-10:00 pm,"3801 18th StSan Francisco, CA 94114",(415) 212-8412,No,,Yes,Yes,No,,Street,Yes,,No,,Hipster,Average,Beer & Wine Only,Yes,,No,,No,
1026,Ben Thai Cafe,https://www.yelp.com/ /biz/ben-thai-cafe-san-francisco,Thai,$11-30,4.5 star rating,11:30 am-3:30 pm5:00 pm-10:00 pm,11:30 am-3:30 pm5:00 pm-10:00 pm,11:30 am-3:30 pm5:00 pm-10:00 pm,11:30 am-3:30 pm5:00 pm-10:00 pm,11:30 am-3:30 pm5:00 pm-10:00 pm,11:30 am-3:30 pm5:00 pm-10:00 pm,11:30 am-3:30 pm5:00 pm-10:00 pm,"1331 Polk StSan Francisco, CA 94109",(415) 771-2562,No,No,Yes,Yes,No,"Lunch, Dinner",,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
1027,Gus’s Community Market,https://www.yelp.com/ /biz/guss-community-market-san-francisco-2,"Grocery,Health Markets,Delis",$11-30,4.0 star rating,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,7:00 am-10:00 pm,"2111 Harrison StSan Francisco, CA 94110",(415) 431-9300,No,Yes,Yes,Yes,Yes,Lunch,,Yes,Yes,Yes,Casual,,Average,,Yes,,No,,,
1028,El Techo,https://www.yelp.com/ /biz/el-techo-san-francisco,"Tapas Bars,Latin American,Cocktail Bars",$11-30,4.0 star rating,4:00 pm-10:30 pm,4:00 pm-10:30 pm,4:00 pm-10:30 pm,4:00 pm-10:30 pm,4:00 pm-12:30 am,11:00 am-12:30 am,11:00 am-10:30 pm,"2518 Mission StSan Francisco, CA 94110",(415) 550-6970,No,No,Yes,Yes,No,Brunch,Street,Yes,No,Yes,Casual,Trendy,Loud,Full Bar,Yes,No,No,Yes,No,
1029,Limón Rotisserie,https://www.yelp.com/ /biz/lim%C3%B3n-rotisserie-san-francisco-3,"Latin American,Peruvian,Tapas/Small Plates",$11-30,4.0 star rating,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:30 pm,10:00 am-10:30 pm,10:00 am-10:00 pm,"1001 S Van Ness AveSan Francisco, CA 94110",(415) 821-2134,Yes,No,Yes,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,Yes,Yes,
1030,Om Indian Cuisine,https://www.yelp.com/ /biz/om-indian-cuisine-san-francisco,Indian,$11-30,4.0 star rating,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,"1668 Haight StSan Francisco, CA 94117",(415) 525-3705,Yes,Yes,Yes,Yes,Yes,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,No,Free,Yes,Yes,Yes,
1031,Sugoi Sushi,https://www.yelp.com/ /biz/sugoi-sushi-san-francisco,"Japanese,Sushi Bars",$11-30,4.0 star rating,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-10:30 pm,5:30 pm-11:00 pm,5:30 pm-11:00 pm,5:00 pm-9:30 pm,"1152 Valencia StSan Francisco, CA 94110",(415) 401-8442,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1032,The Beer Hall,https://www.yelp.com/ /biz/the-beer-hall-san-francisco,Beer Bar,Moderate,4.5 star rating,3:00 pm-12:00 am,3:00 pm-12:00 am,3:00 pm-12:00 am,3:00 pm-12:00 am,2:00 pm-12:00 am,2:30 pm-12:00 am,2:30 pm-9:30 pm,"1 Polk StSan Francisco, CA 94102",(415) 800-7416,No,,,Yes,Yes,,Street,Yes,,Yes,,Casual,Average,Beer & Wine Only,No,,Yes,,,
1033,Udupi Palace,https://www.yelp.com/ /biz/udupi-palace-san-francisco,"Indian,Vegetarian",$11-30,4.0 star rating,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:00 pm,11:30 am-10:30 pm,11:30 am-10:30 pm,11:30 am-10:00 pm,"1007 Valencia StSan Francisco, CA 94110",(415) 970-8000,Yes,Yes,Yes,No,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,Yes,
1034,Old Skool Cafe,https://www.yelp.com/ /biz/old-skool-cafe-san-francisco,"Soul Food,American (Traditional)",$11-30,4.5 star rating,Closed,Closed,Closed,5:30 pm-9:30 pm,5:30 pm-9:30 pm,5:30 pm-9:30 pm,Closed,"1429 Mendell StSan Francisco, CA 94124",(415) 822-8531,Yes,No,Yes,Yes,Yes,Dinner,Street,Yes,Yes,Yes,Casual,Classy,Average,Beer & Wine Only,No,No,No,Yes,Yes,
1035,Juice Shop,https://www.yelp.com/ /biz/juice-shop-san-francisco-7,"Juice Bars & Smoothies,Food Stands",$11-30,4.5 star rating,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,8:00 am-7:00 pm,8:00 am-7:00 pm,"432 Octavia StSan Francisco, CA 94102",(415) 757-0696,No,Yes,Yes,Yes,,,Street,Yes,Yes,Yes,Casual,,,No,Yes,No,No,No,No,
1036,Enjoy Vegetarian Restaurant,https://www.yelp.com/ /biz/enjoy-vegetarian-restaurant-san-francisco-3,"Vegetarian,Chinese",$11-30,4.0 star rating,Closed,11:00 am-2:30 pm5:00 pm-9:00 pm,11:00 am-2:30 pm5:00 pm-9:00 pm,11:00 am-2:30 pm5:00 pm-9:00 pm,11:00 am-2:30 pm5:00 pm-9:00 pm,11:00 am-2:30 pm5:00 pm-9:00 pm,11:00 am-2:30 pm5:00 pm-9:00 pm,"754 Kirkham StSan Francisco, CA 94122",(415) 682-0826,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,Yes,No,
1037,The Monk’s Kettle,https://www.yelp.com/ /biz/the-monks-kettle-san-francisco,"Bars,Gastropubs",$11-30,4.0 star rating,12:00 pm-12:00 am,12:00 pm-12:00 am,12:00 pm-12:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-2:00 am,12:00 pm-12:00 am,"3141 16th StSan Francisco, CA 94103",(415) 865-9523,No,No,Yes,Yes,No,Dinner,Street,Yes,No,No,Casual,Hipster,Loud,Beer & Wine Only,Yes,No,Yes,Yes,No,
1038,Wine Down SF,https://www.yelp.com/ /biz/wine-down-sf-san-francisco,"Wine Bars,Beer Bar,Venues & Event Spaces",Moderate,5.0 star rating,4:00 pm-10:00 pm,4:00 pm-10:00 pm,4:00 pm-10:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,Closed,"685 Folsom StSan Francisco, CA 94107",(415) 829-7005,Yes,,,Yes,Yes,,,Yes,,Yes,,"Casual, Trendy",Average,Beer & Wine Only,Yes,,Yes,,,
1039,The Social Study,https://www.yelp.com/ /biz/the-social-study-san-francisco,"Wine Bars,Cafes",$11-30,4.0 star rating,5:00 pm-10:30 pm,12:00 pm-11:00 pm,12:00 pm-11:00 pm,12:00 pm-12:00 am,12:00 pm-1:00 am,12:00 pm-1:00 am,12:00 pm-10:30 pm,"1795 Geary BlvdSan Francisco, CA 94115",(415) 292-7417,No,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,No,No,
1040,La Traviata,https://www.yelp.com/ /biz/la-traviata-san-francisco,Italian,$11-30,4.0 star rating,4:30 pm-10:30 pm,4:30 pm-10:30 pm,4:30 pm-10:30 pm,4:30 pm-10:30 pm,4:30 pm-10:30 pm,4:30 pm-10:30 pm,4:30 pm-10:30 pm,"2854 Mission StSan Francisco, CA 94110",(415) 282-0500,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,"Intimate, Romantic",Quiet,Beer & Wine Only,No,No,No,Yes,No,
1041,Blue Bottle Coffee Co,https://www.yelp.com/ /biz/blue-bottle-coffee-co-san-francisco-7,"Coffee & Tea,Breakfast & Brunch",$11-30,4.0 star rating,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,"66 Mint StSan Francisco, CA 94103",(510) 653-3394,No,No,Yes,Yes,Yes,Breakfast,Street,Yes,No,No,Casual,"Hipster, Casual, Trendy",Average,No,Yes,No,No,No,No,
1042,Two Sisters Bar and Books,https://www.yelp.com/ /biz/two-sisters-bar-and-books-san-francisco,"Bars,American (New)",$11-30,4.0 star rating,Closed,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-12:00 am,12:00 pm-12:00 am,12:00 pm-10:00 pm,"579 Hayes StSan Francisco, CA 94102",(415) 863-3655,No,No,No,Yes,No,,Street,Yes,No,No,Casual,Intimate,Average,Full Bar,Yes,No,No,No,Yes,
1043,Farmhouse Kitchen Thai Cuisine,https://www.yelp.com/ /biz/farmhouse-kitchen-thai-cuisine-san-francisco,"Thai,Comfort Food,Gluten-Free",$11-30,4.0 star rating,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm5:00 pm-10:00 pm,11:00 am-2:00 pm5:00 pm-10:30 pm,12:00 pm-10:30 pm,12:00 pm-10:00 pm,"710 Florida StSan Francisco, CA 94110",(415) 814-2920,Yes,Yes,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,Yes,Yes,
1044,The Alembic,https://www.yelp.com/ /biz/the-alembic-san-francisco,"Bars,American (New)",$11-30,4.0 star rating,4:00 pm-12:00 am,4:00 pm-12:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,2:00 pm-2:00 am,2:00 pm-12:00 am,"1725 Haight StSan Francisco, CA 94117",(415) 666-0822,No,No,No,Yes,No,Dinner,Street,No,No,No,Casual,Hipster,Average,Full Bar,No,Free,No,Yes,No,
1045,Oasis,https://www.yelp.com/ /biz/oasis-san-francisco-3,"Gay Bars,Performing Arts",Moderate,4.0 star rating,Closed,Closed,6:00 pm-12:00 am,6:00 pm-12:00 am,6:00 pm-3:00 am,6:00 pm-3:00 am,11:00 am-9:00 pm,"298 11th StSan Francisco, CA 94103",(415) 795-3180,No,,,Yes,No,,Street,Yes,No,Yes,,,Loud,Full Bar,No,,Yes,,,
1046,Inner Fog,https://www.yelp.com/ /biz/inner-fog-san-francisco-5,Wine Bars,Moderate,4.0 star rating,4:00 pm-10:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-11:00 pm,4:00 pm-12:00 am,4:00 pm-11:00 pm,4:00 pm-10:00 pm,"545 Irving StSan Francisco, CA 94122",(415) 682-4116,No,,,Yes,,,Street,Yes,,Yes,,Intimate,Average,Beer & Wine Only,No,,No,,,
1047,Long Bridge Pizza,https://www.yelp.com/ /biz/long-bridge-pizza-san-francisco-3,Pizza,$11-30,4.5 star rating,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,11:00 am-3:00 pm5:00 pm-9:00 pm,12:00 pm-9:00 pm,12:00 pm-9:00 pm,"2347 3rd StSan Francisco, CA 94107",(415) 829-8999,No,No,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,No,Casual,"Hipster, Casual",Average,Beer & Wine Only,No,No,No,No,Yes,
1048,The Italian Homemade Company,https://www.yelp.com/ /biz/the-italian-homemade-company-san-francisco-6,Italian,$11-30,4.5 star rating,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-9:30 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-9:30 pm,"1919 Union StSan Francisco, CA 94123",(415) 655-9325,No,No,Yes,Yes,Yes,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,No,No,Yes,
1049,San Jalisco,https://www.yelp.com/ /biz/san-jalisco-san-francisco-2,Mexican,$11-30,4.0 star rating,8:00 am-10:00 pm,8:00 am-10:00 pm,8:00 am-10:00 pm,8:00 am-10:00 pm,8:00 am-10:00 pm,8:00 am-10:00 pm,8:00 am-10:00 pm,"901 S Van Ness AveSan Francisco, CA 94110",(415) 648-8383,No,No,Yes,Yes,No,"Breakfast, Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,Yes,Yes,
1050,DAVIDsTEA,https://www.yelp.com/ /biz/davidstea-san-francisco-10,"Tea Rooms,Coffee & Tea",Moderate,4.5 star rating,10:00 am-7:30 pm,10:00 am-7:30 pm,10:00 am-7:30 pm,10:00 am-7:30 pm,10:00 am-7:30 pm,8:30 am-7:30 pm,9:00 am-6:30 pm,"3870 24th StSan Francisco, CA 94114",(415) 285-0515,,,Yes,Yes,,,Street,Yes,,,,,,,Yes,Free,,,,
1051,Burma Superstar,https://www.yelp.com/ /biz/burma-superstar-san-francisco-2,Burmese,$11-30,4.0 star rating,11:30 am-3:00 pm5:00 pm-9:30 pm,11:30 am-3:00 pm5:00 pm-9:30 pm,11:30 am-3:00 pm5:00 pm-9:30 pm,11:30 am-3:00 pm5:00 pm-9:30 pm,11:30 am-3:00 pm5:00 pm-10:00 pm,11:30 am-3:00 pm5:00 pm-10:00 pm,11:30 am-3:00 pm5:00 pm-9:30 pm,"309 Clement StSan Francisco, CA 94118",(415) 387-2147,No,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1052,Hopwater Distribution,https://www.yelp.com/ /biz/hopwater-distribution-san-francisco,"American (Traditional),Beer Bar",$11-30,4.5 star rating,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-1:00 am,5:00 pm-11:00 pm,"850 Bush StSan Francisco, CA 94108",,No,No,No,Yes,No,Dinner,Street,Yes,No,Yes,Casual,"Hipster, Casual",Loud,Beer & Wine Only,No,No,Yes,No,No,
1053,Virgil’s Sea Room,https://www.yelp.com/ /biz/virgils-sea-room-san-francisco,Cocktail Bars,Moderate,4.5 star rating,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,"3152 Mission StSan Francisco, CA 94110",(415) 829-2233,Yes,,,No,No,,Street,Yes,,Yes,,Casual,Average,Full Bar,Yes,,Yes,,,
1054,The Spice Jar,https://www.yelp.com/ /biz/the-spice-jar-san-francisco,"Asian Fusion,Seafood,Vegan",$11-30,4.5 star rating,Closed,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-10:00 pm,11:30 am-2:30 pm5:00 pm-10:00 pm,5:00 pm-10:00 pm,"2500 Bryant StSan Francisco, CA 94110",(415) 829-3668,No,No,Yes,Yes,,Dinner,Street,Yes,No,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,No,
1055,Elephant Sushi,https://www.yelp.com/ /biz/elephant-sushi-san-francisco-7,Sushi Bars,$11-30,4.5 star rating,Closed,Closed,6:00 pm-9:30 pm,6:00 pm-9:30 pm,6:00 pm-9:30 pm,6:00 pm-9:30 pm,6:00 pm-9:30 pm,"705 Geary StSan Francisco, CA 94109",(415) 374-7186,No,No,No,Yes,No,Dinner,Street,No,No,No,Casual,"Hipster, Casual, Trendy",Average,Beer & Wine Only,No,No,No,Yes,No,
1056,Cafe de Casa,https://www.yelp.com/ /biz/cafe-de-casa-san-francisco-3,"Coffee & Tea,Brazilian,Gluten-Free",$11-30,4.5 star rating,7:30 am-4:00 pm,7:30 am-4:00 pm,7:30 am-4:00 pm,7:30 am-4:00 pm,7:30 am-4:00 pm,7:30 am-4:00 pm,Closed,"2701 Leavenworth StSan Francisco, CA 94133",(415) 345-1055,No,No,Yes,Yes,Yes,"Breakfast, Brunch, Lunch",,Yes,Yes,No,Casual,Casual,Average,No,No,No,No,No,Yes,
1057,Bar 587,https://www.yelp.com/ /biz/bar-587-san-francisco,"Lounges,Cocktail Bars",Moderate,4.5 star rating,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,4:00 pm-2:00 am,"587 Post StSan Francisco, CA 94102",(415) 817-1712,Yes,,,Yes,No,,Street,Yes,,Yes,,Trendy,Average,Full Bar,No,,Yes,,,
1058,Italian Homemade Company,https://www.yelp.com/ /biz/italian-homemade-company-san-francisco,"Grocery,Italian,Pasta Shops",$11-30,4.5 star rating,11:00 am-9:30 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,11:00 am-9:00 pm,"716 Columbus AveSan Francisco, CA 94133",(415) 712-8874,No,Yes,Yes,Yes,Yes,"Lunch, Dinner",Street,Yes,Yes,No,Casual,Casual,Average,No,Yes,No,No,No,Yes,
1059,Pearl’s Deluxe Burgers,https://www.yelp.com/ /biz/pearls-deluxe-burgers-san-francisco-3,Burgers,$11-30,4.0 star rating,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-10:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,12:00 pm-9:00 pm,"708 Post StSan Francisco, CA 94109",(415) 409-6120,No,No,Yes,No,No,"Lunch, Dinner",Street,Yes,Yes,No,Casual,Casual,Average,No,No,No,No,No,No,No
1060,Black Hammer Brewing,https://www.yelp.com/ /biz/black-hammer-brewing-san-francisco,"Breweries,Beer Bar",Moderate,4.5 star rating,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-11:00 pm,11:00 am-12:00 am,12:00 pm-12:00 am,12:00 pm-10:00 pm,"544 Bryant StSan Francisco, CA 94107",(415) 758-2223,No,,No,Yes,No,,Street,Yes,,Yes,,"Hipster, Casual, Trendy",Quiet,Beer & Wine Only,Yes,,Yes,,,
1061,Assab Eritrean Restaurant,https://www.yelp.com/ /biz/assab-eritrean-restaurant-san-francisco,"Ethiopian,Desserts",$11-30,4.0 star rating,4:00 pm-9:30 pm,4:00 pm-9:30 pm,4:00 pm-9:30 pm,4:00 pm-9:30 pm,4:00 pm-10:00 pm,4:00 pm-10:00 pm,Closed,"2845 Geary BlvdSan Francisco, CA 94118",(415) 441-7083,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,Yes,No,
1062,Aslam’s Rasoi,https://www.yelp.com/ /biz/aslams-rasoi-san-francisco,"Indian,Pakistani",$11-30,4.0 star rating,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-10:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-10:00 pm,"1037 Valencia StSan Francisco, CA 94110",(415) 695-0599,Yes,No,Yes,Yes,No,Dinner,Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,Yes,Yes,
1063,Jasmine Garden,https://www.yelp.com/ /biz/jasmine-garden-san-francisco,Vietnamese,$11-30,4.0 star rating,12:00 pm-4:00 pm5:00 pm-9:30 pm,Closed,12:00 pm-4:00 pm5:00 pm-9:30 pm,12:00 pm-4:00 pm5:00 pm-9:30 pm,12:00 pm-4:00 pm5:00 pm-10:00 pm,12:00 pm-4:00 pm5:00 pm-10:00 pm,12:00 pm-4:00 pm5:00 pm-10:00 pm,"708 14th StSan Francisco, CA 94114",(415) 861-2682,Yes,No,Yes,Yes,No,"Lunch, Dinner",Street,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,Yes,Yes,
1064,Hogwash,https://www.yelp.com/ /biz/hogwash-san-francisco,"Gastropubs,Beer Bar",$11-30,4.5 star rating,11:00 am-3:00 pm5:00 pm-11:00 pm,11:00 am-3:00 pm5:00 pm-11:00 pm,11:00 am-3:00 pm5:00 pm-11:00 pm,11:00 am-3:00 pm5:00 pm-11:00 pm,11:00 am-3:00 pm5:00 pm-11:00 pm,5:00 pm-11:00 pm,5:00 pm-11:00 pm,"582 Sutter StSan Francisco, CA 94102",(415) 361-5500,No,No,Yes,Yes,No,"Dinner, Late Night",Street,No,No,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,No,No,
1065,Mr Tipple’s Recording Studio,https://www.yelp.com/ /biz/mr-tipples-recording-studio-san-francisco,"Cocktail Bars,Jazz & Blues",Moderate,4.5 star rating,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-12:00 am,5:00 pm-1:00 am,5:00 pm-1:00 am,Closed,"39 Fell StSan Francisco, CA 94102",(415) 851-8561,No,,,Yes,No,,Street,Yes,No,Yes,,Classy,Loud,Full Bar,No,,No,,,
