id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters
2353,Hermès,https://www.yelp.com/ /biz/herm%C3%A8s-san-francisco-2,"Women's Clothing,Accessories,Leather Goods",Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"125 Grant AveSan Francisco, CA 94108",(415) 391-7200,,,,Yes,No,,Street,No,,,,,,,,,,,
2354,Saint Laurent,https://www.yelp.com/ /biz/saint-laurent-san-francisco-2,Accessories,Ultra High-End,4.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,12:00 pm-6:00 pm,"108 Geary StSan Francisco, CA 94108",(415) 765-0975,,,,Yes,,,Garage,Yes,,,,,,,,,,,
2355,Ritz Carlton Club,https://www.yelp.com/ /biz/ritz-carlton-club-san-francisco,"Venues & Event Spaces,Hotels",Ultra High-End,4.5 star rating,,,,,,,,"658 Market StSan Francisco, CA 94105",,,,,Yes,No,,,,,,,,,,,Free,,,
2356,ROLO on Market,https://www.yelp.com/ /biz/rolo-on-market-san-francisco,Men's Clothing,Ultra High-End,4.0 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,12:00 pm-6:00 pm,"2351 Market StSan Francisco, CA 94114",(415) 431-4545,,,,Yes,,,Street,No,,,,,,,,,,,
2357,Coup d’Etat,https://www.yelp.com/ /biz/coup-d-etat-san-francisco-2,Antiques,Ultra High-End,4.5 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,11:00 am-4:00 pm,Closed,"111 Rhode Island StSan Francisco, CA 94103",(415) 241-9300,,,,Yes,,,Street,Yes,,,,,,,,,,,
2358,Barneys New York,https://www.yelp.com/ /biz/barneys-new-york-san-francisco,"Men's Clothing,Women's Clothing,Shoe Stores",Ultra High-End,3.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-8:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,12:00 pm-7:00 pm,"77 O&#39;Farrell StSan Francisco, CA 94108",(415) 268-3500,,,,Yes,Yes,,,No,,,,,,,,,,,
2359,Van Cleef &amp; Arpels,https://www.yelp.com/ /biz/van-cleef-and-arpels-san-francisco-2,"Jewelry,Watches",Ultra High-End,5.0 star rating,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,12:00 pm-4:30 pm,"150 Stockton StSan Francisco, CA 94108",(415) 362-3900,,,,Yes,No,,Street,Yes,,,,,,,,,,,
2360,Kent Cleaners,https://www.yelp.com/ /biz/kent-cleaners-san-francisco,Dry Cleaning & Laundry,Ultra High-End,3.5 star rating,7:30 am-6:30 pm,7:30 am-6:30 pm,7:30 am-6:30 pm,7:30 am-6:30 pm,7:30 am-6:30 pm,8:30 am-5:30 pm,Closed,"601 3rd AveSan Francisco, CA 94118",(415) 751-5478,,,,Yes,,,Street,,,,,,,,,No,,,
2361,Saks Fifth Avenue,https://www.yelp.com/ /biz/saks-fifth-avenue-san-francisco,"Women's Clothing,Accessories,Shoe Stores",Ultra High-End,3.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,12:00 pm-7:00 pm,"384 Post StSan Francisco, CA 94108",(415) 986-4300,,,,Yes,Yes,,Garage,Yes,,,,,,,,,,,
2362,Adore Organic Innovations,https://www.yelp.com/ /biz/adore-organic-innovations-san-francisco,"Cosmetics & Beauty Supply,Skin Care",Ultra High-End,3.5 star rating,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,"188 Ofarrell StSan Francisco, CA 94102",(844) 377-7753,,,,Yes,,,Garage,Yes,,,,,,,,,,,
2363,Modernist,https://www.yelp.com/ /biz/modernist-san-francisco,"Supper Clubs,Cocktail Bars,Social Clubs",Above $61,3.5 star rating,Closed,6:00 pm-11:00 pm,6:00 pm-11:00 pm,6:00 pm-11:00 pm,6:00 pm-1:00 am,6:00 pm-1:00 am,Closed,"139 Steuart StSan Francisco, CA 94105",,Yes,No,No,Yes,No,,,No,No,Yes,Dressy,,Loud,Full Bar,No,Free,No,Yes,No
2364,Martin Lawrence Galleries,https://www.yelp.com/ /biz/martin-lawrence-galleries-san-francisco,Art Galleries,Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-6:00 pm,"366 Geary StSan Francisco, CA 94102",(415) 956-0345,,,,Yes,,,Street,,No,,,,,,,,,,
2365,Steven’s Manufacturing Jewelers,https://www.yelp.com/ /biz/stevens-manufacturing-jewelers-san-francisco-4,"Gold Buyers,Watches,Jewelry Repair",Ultra High-End,5.0 star rating,10:00 am-4:30 pm,10:00 am-4:30 pm,10:00 am-4:30 pm,10:00 am-4:30 pm,10:00 am-4:30 pm,Closed,Closed,"490 Post StSan Francisco, CA 94102",(415) 398-8783,,,,No,No,,Street,Yes,,,,,,,,,,,
2366,Golden Gate Needlepoint,https://www.yelp.com/ /biz/golden-gate-needlepoint-san-francisco,Arts & Crafts,Ultra High-End,5.0 star rating,Closed,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:30 am-4:30 pm,Closed,"3310 Sacramento StSan Francisco, CA 94118",(415) 345-8779,,,,Yes,,,Street,,,,,,,,,,,,
2367,Christopher Clark Fine Art,https://www.yelp.com/ /biz/christopher-clark-fine-art-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-9:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,,(415) 397-7781,,,,Yes,,,Street,Yes,Yes,,,,,,,,,,
2368,Uomo European Menswear,https://www.yelp.com/ /biz/uomo-european-menswear-san-francisco,Men's Clothing,Ultra High-End,4.0 star rating,9:30 am-6:30 pm,9:30 am-6:30 pm,9:30 am-6:30 pm,9:30 am-6:30 pm,9:30 am-6:30 pm,9:30 am-6:30 pm,Closed,"475 Sutter StSan Francisco, CA 94108",(415) 989-8666,,,,Yes,,,"Garage, Street",Yes,,,,,,,,,,,
2369,Burberry,https://www.yelp.com/ /biz/burberry-san-francisco,"Women's Clothing,Accessories,Men's Clothing",Ultra High-End,3.5 star rating,10:00 am-6:30 pm,10:00 am-6:30 pm,10:00 am-6:30 pm,10:00 am-6:30 pm,10:00 am-6:30 pm,10:00 am-6:30 pm,11:00 am-6:00 pm,"225 Post StSan Francisco, CA 94108",(415) 392-2200,,,,Yes,,,,No,,,,,,,,,,,
2370,NeoCocoa,https://www.yelp.com/ /biz/neococoa-san-francisco,Chocolatiers & Shops,Ultra High-End,4.0 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,Closed,Closed,"2948 Folsom StSan Francisco, CA 94110",,,,,Yes,,,,,,,,,,,,,,,
2371,The Painters Place,https://www.yelp.com/ /biz/the-painters-place-san-francisco,"Framing,Home Decor",Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"283 9th StSan Francisco, CA 94103",(415) 431-9827,,,,Yes,,,Street,Yes,,,,,,,,,,,
2372,Gucci,https://www.yelp.com/ /biz/gucci-san-francisco-2,"Men's Clothing,Women's Clothing,Leather Goods",Ultra High-End,3.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,12:00 pm-6:00 pm,"240 Stockton StSan Francisco, CA 94108",(415) 392-2808,,,,Yes,Yes,,Garage,Yes,,,,,,,,,,,
2373,Optica,https://www.yelp.com/ /biz/optica-san-francisco,"Eyewear & Opticians,Accessories",Ultra High-End,4.0 star rating,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-7:00 pm,,(415) 896-1239,,,,Yes,,,Garage,No,,,,,,,,,,,
2374,Shapur Mozaffarian Fine Jewelry,https://www.yelp.com/ /biz/shapur-mozaffarian-fine-jewelry-san-francisco-2,"Jewelry,Watches",Ultra High-End,4.0 star rating,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,Closed,"272 Post StSan Francisco, CA 94108",(415) 392-1200,,,,Yes,,,Garage,No,,,,,,,,,,,
2375,Goyard,https://www.yelp.com/ /biz/goyard-san-francisco-4,"Leather Goods,Luggage,Accessories",Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"118 Grant AveSan Francisco, CA 94108",(415) 523-8200,,,,Yes,Yes,,Garage,Yes,,,,,,,,,,,
2376,Xetum,https://www.yelp.com/ /biz/xetum-san-francisco,Watches,Ultra High-End,4.5 star rating,,,,,,,,"760 Market StSan Francisco, CA 94102",(800) 385-6238,,,,Yes,,,,,,,,,,,,,,,
2377,Rebecca Beeson Collection Tees,https://www.yelp.com/ /biz/rebecca-beeson-collection-tees-san-francisco,Women's Clothing,Ultra High-End,3.5 star rating,,,,,,,,"1345 Howard StSan Francisco, CA 94103",(415) 865-0471,,,,Yes,,,,,,,,,,,,,,,
2378,Rolex,https://www.yelp.com/ /biz/rolex-san-francisco-2,Watches,Ultra High-End,4.0 star rating,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-7:00 pm,,(415) 974-1846,,,,Yes,,,Garage,No,,,,,,,,,,,
2379,Bohemian Club,https://www.yelp.com/ /biz/bohemian-club-san-francisco,"Performing Arts,Art Galleries",Ultra High-End,4.0 star rating,,,,,,,,"624 Taylor StSan Francisco, CA 94102",(415) 885-2440,,,,No,,,Garage,,No,,,,,,,,,,
2380,Wilkes Bashford,https://www.yelp.com/ /biz/wilkes-bashford-san-francisco,"Men's Clothing,Women's Clothing,Accessories",Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"375 Sutter StSan Francisco, CA 94108",(415) 986-4380,,,,Yes,No,,"Garage, Street",Yes,,,,,,,,,,,
2381,Pi Pizza,https://www.yelp.com/ /biz/pi-pizza-san-francisco,Food Delivery Services,Ultra High-End,4.0 star rating,,,,,,,,"?San Francisco, CA",,,,No,Yes,No,,,No,,,,,,,,,,,
2382,DeBoudoir,https://www.yelp.com/ /biz/deboudoir-san-francisco,"Wedding Planning,Makeup Artists",Ultra High-End,4.0 star rating,,,,,,,,"755 Sutter StSan Francisco, CA 94109",(866) 892-6331,,,,Yes,,,Street,,,,,,,,,,,,
2383,Gump’s,https://www.yelp.com/ /biz/gumps-san-francisco,"Jewelry,Home Decor,Furniture Stores",Ultra High-End,3.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"135 Post StSan Francisco, CA 94108",(415) 982-1616,,,,Yes,No,,"Garage, Street",No,,,,,,,,,,,
2384,Susan San Francisco-Burlingame,https://www.yelp.com/ /biz/susan-san-francisco-burlingame-san-francisco,"Women's Clothing,Leather Goods,Accessories",Ultra High-End,3.5 star rating,Closed,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"3685 Sacramento StSan Francisco, CA 94118",(415) 922-3685,,,,Yes,,,Street,Yes,,,,,,,,,,,
2385,Cartier,https://www.yelp.com/ /biz/cartier-san-francisco-5,"Jewelry,Watches,Accessories",Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-6:00 pm,"250 Post StSan Francisco, CA 94108",(415) 397-3180,,,,Yes,No,,,Yes,,,,,,,,,,,
2386,Louis Vuitton San Francisco Neiman Marcus,https://www.yelp.com/ /biz/louis-vuitton-san-francisco-neiman-marcus-san-francisco,Leather Goods,Ultra High-End,4.0 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-8:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,12:00 pm-6:00 pm,"150 Stockton StSan Francisco, CA 94108",(415) 399-9001,,,,Yes,,,Street,Yes,,,,,,,,,,,
2387,Robert R Johnson Coin and Stamp Co,https://www.yelp.com/ /biz/robert-r-johnson-coin-and-stamp-co-san-francisco-2,"Hobby Shops,Gold Buyers",Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,Closed,"5 3rd StreetSan Francisco, CA 94103",(415) 421-9701,,,,No,,,"Garage, Private Lot",Yes,,,,,,,,,,,
2388,Walnut Cleaners,https://www.yelp.com/ /biz/walnut-cleaners-san-francisco,Dry Cleaning & Laundry,Ultra High-End,3.5 star rating,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,8:00 am-6:00 pm,Closed,"2266 Chestnut StSan Francisco, CA 94123",(415) 921-0495,,,,Yes,,,Street,Yes,,,,,,,,No,,,
2389,Spaghetti Ravioli Hair Salon,https://www.yelp.com/ /biz/spaghetti-ravioli-hair-salon-san-francisco-2,Hair Salons,Ultra High-End,4.0 star rating,,,,,,,,"1204 Sutter StSan Francisco, CA 94109",,,,,,,,Street,,,,,,,,,,,,
2390,Magnolia Audio Video Design Center,https://www.yelp.com/ /biz/magnolia-audio-video-design-center-san-francisco,"Home Theatre Installation,Electronics",Ultra High-End,3.5 star rating,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-8:00 pm,"1717 Harrison StSan Francisco, CA 94103",(415) 575-1022,,,,Yes,,,Private Lot,Yes,,,,,,,,,,,
2391,Louis Vuitton San Francisco Union Square,https://www.yelp.com/ /biz/louis-vuitton-san-francisco-union-square-san-francisco,Leather Goods,Ultra High-End,3.0 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-8:00 pm,10:00 am-7:00 pm,12:00 pm-7:00 pm,"233 Geary StSan Francisco, CA 94102",(415) 391-6200,,,,Yes,No,,"Garage, Street",No,,,,,,,,,,,
2392,Fujiya Cosmetics NW3,https://www.yelp.com/ /biz/fujiya-cosmetics-nw3-san-francisco,Cosmetics & Beauty Supply,Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-4:00 pm,"1662 Post StSan Francisco, CA 94115",(415) 563-9888,,,,Yes,,,"Garage, Street",,,,,,,,,,,,
2393,Moncler,https://www.yelp.com/ /biz/moncler-san-francisco-2,"Women's Clothing,Men's Clothing,Accessories",Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-6:00 pm,"212 Stockton StSan Francisco, CA 94108",(628) 221-7945,,,,Yes,No,,Garage,No,,,,,,,,,,,
2394,BSC Culinary Resource,https://www.yelp.com/ /biz/bsc-culinary-resource-san-francisco-2,Appliances,Ultra High-End,3.0 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:30 am-4:00 pm,Closed,"1665 Mission StSan Francisco, CA 94103",(415) 626-6246,,,,Yes,,,Street,Yes,,,,,,,,,,,
2395,Elizabeth Charles,https://www.yelp.com/ /biz/elizabeth-charles-san-francisco,Women's Clothing,Ultra High-End,3.5 star rating,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-5:00 pm,"2056 Fillmore StSan Francisco, CA 94115",(415) 440-2100,,,,Yes,,,Street,,,,,,,,,,,,
2396,Biro &amp; Sons Silversmiths,https://www.yelp.com/ /biz/biro-and-sons-silversmiths-san-francisco,Antiques,Ultra High-End,4.0 star rating,7:30 am-4:00 pm,7:30 am-4:00 pm,7:30 am-4:00 pm,7:30 am-4:00 pm,7:30 am-4:00 pm,Closed,Closed,"1160 Folsom StSan Francisco, CA 94103",(415) 431-3480,,,,No,,,Street,Yes,,,,,,,,,,,
2397,Chaps,https://www.yelp.com/ /biz/chaps-san-francisco,"Men's Clothing,Women's Clothing,Children's Clothing",Ultra High-End,4.0 star rating,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,9:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,"4057 18th StSan Francisco, CA 94114",(415) 863-1699,,,,Yes,No,,,Yes,,,,,,,,,,,
2398,Analog Tattoo Arts Kolectiv SF,https://www.yelp.com/ /biz/analog-tattoo-arts-kolectiv-sf-san-francisco,Art Galleries,Ultra High-End,5.0 star rating,,,,,,,,"1038 Larkin StSan Francisco, CA 94109",(415) 932-6250,,,,Yes,No,,,Yes,No,,,,,,,,,,
2399,House of Music,https://www.yelp.com/ /biz/house-of-music-san-francisco,"Electronics,Home Theatre Installation",Ultra High-End,3.0 star rating,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,Closed,,(415) 255-0888,,,,Yes,No,,Street,Yes,,,,,,,,,,,
2400,Hosfelt Gallery,https://www.yelp.com/ /biz/hosfelt-gallery-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,Closed,10:00 am-5:30 pm,10:00 am-5:30 pm,11:00 am-7:00 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,Closed,"260 Utah StSan Francisco, CA 94103",(415) 495-5454,,,,Yes,,,Street,,Yes,,,,,,,,,,
2401,B&amp;B Italia,https://www.yelp.com/ /biz/b-and-b-italia-san-francisco,"Home Decor,Furniture Stores,Furniture Assembly",Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"2211 Alameda StSan Francisco, CA 94103",(415) 565-0900,,Yes,,Yes,,,Street,Yes,,,,,,,,,,,
2402,Thos. Moser Cabinetmakers,https://www.yelp.com/ /biz/thos-moser-cabinetmakers-san-francisco,Furniture Stores,Ultra High-End,4.0 star rating,,,,,,,,"3395 Sacramento StSan Francisco, CA 94118",(415) 931-8131,,,,Yes,,,,,,,,,,,,,,,
2403,Shreve &amp; Co.,https://www.yelp.com/ /biz/shreve-and-co-san-francisco-2,"Jewelry,Watches,Jewelry Repair",Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"150 Post StSan Francisco, CA 94108",(415) 421-2600,,,,Yes,No,,Street,Yes,,,,,,,,,,,
2404,Venezia Fine Arts &amp; Antiques,https://www.yelp.com/ /biz/venezia-fine-arts-and-antiques-san-francisco,"Antiques,Art Galleries",Ultra High-End,4.5 star rating,9:00 am-8:00 pm,9:00 am-8:00 pm,9:00 am-8:00 pm,9:00 am-8:00 pm,9:00 am-6:00 pm,9:00 am-8:00 pm,9:00 am-8:00 pm,"430 Grant AveSan Francisco, CA 94108",(628) 400-6004,,,,Yes,,,Street,No,No,,,,,,,,,,
2405,St. John Boutique,https://www.yelp.com/ /biz/st-john-boutique-san-francisco-2,Women's Clothing,Ultra High-End,3.5 star rating,,,,,,,,"767A Market Street, Suite BSan Francisco, CA 94103",(415) 856-0420,,,,Yes,,,"Garage, Street",,,,,,,,,,,,
2406,Food Guru GraceAnn Walden’s Walking Tours,https://www.yelp.com/ /biz/food-guru-graceann-waldens-walking-tours-san-francisco,"Tours,Food",Ultra High-End,4.5 star rating,,,,,,,,"San Francisco, CA 94133",(415) 302-5898,,,,No,,,,No,,,,,,,,,,,
2407,Sue Fisher King,https://www.yelp.com/ /biz/sue-fisher-king-san-francisco,"Home Decor,Furniture Stores",Ultra High-End,4.0 star rating,,,,,,,,"3067 Sacramento StSan Francisco, CA 94115",(415) 922-7276,,,,Yes,Yes,,Street,No,,,,,,,,,,,
2408,Park Plaza Fine Foods,https://www.yelp.com/ /biz/park-plaza-fine-foods-san-francisco,"Grocery,Delis",Above $61,2.5 star rating,8:00 am-10:00 pm,8:00 am-10:00 pm,8:00 am-10:00 pm,8:00 am-10:30 pm,8:00 am-11:00 pm,8:00 am-11:00 pm,8:00 am-9:30 pm,"111 Cambon DrSan Francisco, CA 94132",(628) 400-6077,No,Yes,Yes,Yes,No,Late Night,Private Lot,Yes,Yes,Yes,Casual,,Quiet,Full Bar,No,No,Yes,No,Yes
2409,One Hour Cleaners,https://www.yelp.com/ /biz/one-hour-cleaners-san-francisco,Dry Cleaning & Laundry,Ultra High-End,3.5 star rating,7:00 am-6:30 pm,7:00 am-6:30 pm,7:00 am-6:30 pm,7:00 am-6:30 pm,7:00 am-6:30 pm,8:00 am-6:00 pm,Closed,"2233 Market StSan Francisco, CA 94114",(415) 552-6035,,,,Yes,,,Street,,,,,,,,,No,,,
2410,Alexander McQueen,https://www.yelp.com/ /biz/alexander-mcqueen-san-francisco,"Women's Clothing,Men's Clothing",Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"58 Geary StSan Francisco, CA 94108",(415) 956-2721,,,,Yes,,,Street,Yes,,,,,,,,,,,
2411,Montblanc,https://www.yelp.com/ /biz/montblanc-san-francisco,"Accessories,Leather Goods,Watches",Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"120 Grant AvenueSan Francisco, CA 94108",(415) 403-4000,,,,Yes,,,Street,Yes,,,,,,,,,,,
2412,Gallery 444,https://www.yelp.com/ /biz/gallery-444-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,,,,,,,,,(415) 434-4477,,,,Yes,,,Street,No,No,,,,,,,,,,
2413,Ocularium The,https://www.yelp.com/ /biz/the-ocularium-san-francisco-2,Eyewear & Opticians,Ultra High-End,4.0 star rating,,,,,,,,"2336 Chestnut StSan Francisco, CA 94123",(415) 563-2475,,,,Yes,,,Street,,,,,,,,,,,,
2414,April In Paris,https://www.yelp.com/ /biz/april-in-paris-san-francisco,Leather Goods,Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-5:00 pm,10:00 am-6:00 pm,"15 Clement StSan Francisco, CA 94118",(415) 750-9910,,,,Yes,,,Street,No,,,,,,,,,,,
2415,Vine Vera,https://www.yelp.com/ /biz/vine-vera-san-francisco-4,Skin Care,Ultra High-End,3.5 star rating,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-7:00 pm,"60 Grant StSan Francisco, CA 94108",,,,,Yes,,,Street,Yes,,,,,,,,,,,
2416,Living Green Design,https://www.yelp.com/ /biz/living-green-design-san-francisco,"Nurseries & Gardening,Gardeners",Ultra High-End,4.5 star rating,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,11:00 am-4:00 pm,Closed,"1465 Custer AveSan Francisco, CA 94124",(415) 864-2251,,,,Yes,,,Street,Yes,,,,,,,,,,,
2417,Verizon,https://www.yelp.com/ /biz/verizon-wireless-san-francisco-44,"Mobile Phones,Internet Service Providers,Mobile Phone Accessories",Ultra High-End,3.0 star rating,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,11:00 am-7:00 pm,"2654 Mission StSan Francisco, CA 94110",(415) 695-8400,,,,Yes,,,Street,Yes,,,,,,,,,,,
2418,Andy Goldsworthy’s Spire,https://www.yelp.com/ /biz/andy-goldsworthys-spire-san-francisco,"Hiking,Art Galleries",Ultra High-End,4.5 star rating,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"San Francisco, CA 94129",(415) 561-5300,,,,No,Yes,,,Yes,Yes,,,,,,,,,,
2419,Caldwell Snyder Gallery,https://www.yelp.com/ /biz/caldwell-snyder-gallery-san-francisco,Art Galleries,Ultra High-End,4.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-5:00 pm,"341 Sutter StSan Francisco, CA 94108",(415) 392-2299,,,,Yes,,,,,No,,,,,,,,,,
2420,The Art of Dr. Seuss - Dennis Rae Fine Art,https://www.yelp.com/ /biz/the-art-of-dr-seuss-dennis-rae-fine-art-san-francisco,Art Galleries,Ultra High-End,4.0 star rating,,,,,,,,"351-A Geary StSan Francisco, CA 94102",(415) 391-1948,,,,Yes,No,,,No,Yes,,,,,,,,,,
2421,Candace Barnes,https://www.yelp.com/ /biz/candace-barnes-san-francisco,"Antiques,Interior Design",Ultra High-End,5.0 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,Closed,Closed,"2013 17th StSan Francisco, CA 94103",(415) 431-1018,,,,Yes,,,Street,Yes,,,,,,,,,,,
